|  id|   xcenter|   ycenter| aperture_sum_0| aperture_sum_1|residual_aperture_sum|
|long|    double|    double|         double|         double|               double|
|    |       pix|       pix|               |               |                     |
|null|      null|      null|           null|           null|                 null|
    1 165.817001 290.996002  -2.28571617555   7.00644545211        -5.82872859183 
    2 382.912994  58.875999   20.9093651001   26.7181591408         7.39855277408 
    3 913.508972  28.245001   7.49889490759   8.82472982438         3.03641424578 
    4 932.661987     50.757   46.6788350978   52.1898533615         20.2875215955 
    5 501.412994  57.442001   2144.89959497   632.712596926         1824.95011386 
    6 319.796997      13.63   27.9481039577   26.6590760951         14.4671686879 
    7    301.431      6.767   62.3059073052   36.6523299773         43.7715932821 
    8 987.448975  23.905001   65.7780747839   130.314053933       -0.119007303746 
    9 422.341003  17.518999   47.0757439689   28.9487774658         32.4369547714 
   10 511.863007     14.934 -0.109202671517  -2.44057113573         1.12494292996 
   11 400.260986  38.692001   86.7154563304   33.8448327487         69.6008347331 
   12 388.869995     12.205   1.13767446274    1.7879348939        0.233553311451 
   13      7.894      9.874    54.423077845   38.8408671304         34.7820665159 
   14 908.734985      4.503   26.2218856464   12.5449989545         19.8781429652 
   15 727.018005      5.768   29.8070220274   18.1748424571         20.6163856442 
   16 433.649994      3.683   81.7342777082   21.9235134239         70.6480170928 
   17 196.813995 952.414978   24.5117105905   12.7041293835         18.0874989911 
   18  611.72998 997.578003   28.2325588265   9.58312211082         23.3865751023 
   19 311.919006 947.151978   21.4876369193  -4.05843595421         23.5399028043 
   20 831.166016 943.843018   70.9548641009   22.4631205119         59.5957355062 
   21 385.333008  940.77301   40.5397640823   15.3973070499         32.7536690605 
   22 327.104004 943.197021   25.5107612707   2.66876702126         24.1612217992 
   23  71.880997 936.484985   18.2837825575   20.1493438685         8.09468225071 
   24 172.621002 940.585022   7.64174786094   9.19155553753          2.9937711348 
   25 251.003998 911.796021 -0.382719793561  -59.3078083594          29.607994162 
   26 260.304993 903.705994   18.0756683822  -48.0473538935         42.3722068449 
   27 262.778015 934.447021   121.965908639   92.0411034509         75.4226543503 
   28 276.240997 922.575012   54.0227683662    34.441988135         36.6061778229 
   29 286.713989 904.396973   14.9114897886  -48.6717851642         39.5237900395 
   30 279.089996 889.682983   103.201515293   148.687600745            28.0133162 
   31    207.806 935.551025   18.6745089758  -6.61346420375         22.0187990225 
   32     56.473 928.791992   21.6065976905    23.452343496         9.74723979423 
   33  67.504997 918.517029   14.3996438757   26.8599532588        0.817129240118 
   34 719.161011 932.572998   22.4650537627   11.9870972787         16.4034302499 
   35  26.243999  919.76001   24.1457786359   14.3177885297         16.9055734733 
   36 508.446991 914.599976   71.1977531457   18.5506940952         61.8170564773 
   37 926.901978 910.025024   85.2601313379   29.6349822598         70.2743427779 
   38  933.65802 905.864014   8.01707580551   38.0922907833        -11.2453961757 
   39 200.220993 907.244995   73.5421544212   27.1123814024         59.8319921713 
   40 715.530029 901.721985   40.4266340978   34.4972481491         22.9820997251 
   41  94.345001 909.239014   38.9563666056  -3.68869394681         40.8216617174 
   42 782.799011 897.671021   25.1926803287   7.37227774053         21.4646742021 
   43 424.608002 894.346008   15.6237568995  -10.9772988771         21.1747465539 
   44  86.815002 893.476013   10.8425966476    5.0644218275         8.28162481977 
   45    352.819  885.13501   144.195578799   119.861624819         83.5840707425 
   46 213.264008 887.502014   53.2583624385   12.0577573211         47.1610076252 
   47 236.225006 889.455994   24.1831530566  -23.4214329558         36.0268801414 
   48 549.117981 875.538025   81.0140758098   35.7226688101         62.9498719276 
   49 697.833008 869.340027   21.5683942739   19.3779539268         11.7693696709 
   50 623.103027  874.26001   23.5489623234   13.1297040609         16.9095465414 
   51 986.955017  872.64502   21.5571695948   8.95695926786         17.0278232786 
   52 409.130005 872.182007   19.4793937426   6.87180087201         16.0044682647 
   53 863.997986 864.758972   55.6253453517   29.9676851389         40.4713159284 
   54 360.136993 863.380005    21.243793342   1.75849494437         20.3545593553 
   55  22.493999  858.83197   27.1266893121   16.9069545558         18.5771972306 
   56 952.379028 853.974976   29.8828416714   24.8704266842         17.3063888691 
   57 739.630981 849.505981   78.6440134652   36.6371391664         60.1173811163 
   58 912.883972 851.849976   36.6072405476    26.327094216         23.2941815466 
   59 168.548996 844.349976   733.409409227   232.448387095          615.86513842 
   60 313.308014 848.015015   10.8776172635   10.9084706184         5.36143261501 
   61  319.30899 848.442993   24.6235678699  -1.34014834845         25.3012527631 
   62 850.997986 839.786987   29.2197254967   14.7014261556         21.7855228383 
   63 831.627991 832.190002   27.0647970953   19.6252781148         17.1407058412 
   64 129.606003 821.567017   10.6728108049  -1.46724445734         11.4147655329 
   65 996.536011 810.627991   99.8314810828   32.5020747218         83.3958640383 
   66 785.288025 802.635986   130.254132477   125.933546996         66.5721808113 
   67 398.481995 809.271973   3.28453226746  -6.54355028367         6.59346831214 
   68 680.726013 765.627014   39.3704040535   78.9487670598       -0.552330499207 
   69 890.330017 784.578003   27.3695733122   18.8657551652         17.8295568731 
   70 423.071991 774.906982   76.8717610747   48.9970610741         52.0949756229 
   71 773.750977 769.986023   10.4306032715   21.4407405755       -0.411529246683 
   72     13.676 765.432983   18.1890470485   57.5994649922        -10.9377935203 
   73      6.965 759.216003   303.365463445   95.3709016117         255.138400111 
   74 351.941986  757.30603   768.804981477   199.568008707         667.887627938 
   75 512.768982     760.75   25.9778742431   2.16547795396         24.8828374901 
   76 323.539001 786.325012   52.3641391301   7.79832536192         48.4206896632 
   77 964.760986  756.77301   22.8066092744   1.70643632864         21.9437002371 
   78 589.461975  747.97699   48.6938693088   48.9054329096         23.9634182967 
   79 993.791992 751.007996   20.2216320016   3.69897771095          18.351136606 
